MachineId,DateCreated,LogContent
4,2024-11-03 17:12:37,WPS3800 1.0.0.1 Rev 1 is running as Operator
4,2024-11-03 17:12:42,Application start with Operator password
4,2024-11-03 17:12:52,Initialize machine
4,2024-11-03 17:12:55,Auto Detect LP3
4,2024-11-03 17:12:55,"Auto Detect LP3, current InputPort1 port value: 47"
4,2024-11-03 17:13:52,WPS3800 1.0.0.0 Rev 1 is running as Operator
4,2024-11-03 17:18:00,Accessing Hardware Manager Setup
4,2024-11-03 17:18:13,Hardware Manager Setup closed
4,2024-11-03 17:18:16,Accessing Options Setting
4,2024-11-03 17:18:21,Options Setting closed
4,2024-11-03 17:18:22,Accessing Recipe Setting.
4,2024-11-03 17:18:23,Recipe Setting closed.
4,2024-11-03 17:18:24,Accessing OEM setup.
4,2024-11-03 17:18:35,OEM setup closed.
4,2024-11-04 23:40:31,Accessing Diagnosis.
4,2024-11-04 23:40:35,Diagnosis closed.
4,2024-11-05 17:46:53,"Carrier LP1, Error Clear send command: SET:RSET;"
4,2024-11-05 17:46:53,"Carrier LP1, Error Clear data receive: [SOH]0000SET:RSET;5F[CR][SOH]0000INF:RSET;50[CR]"
4,2024-11-05 17:46:55,"Carrier LP1, Clamp On send command: MOV:FCCL;"
4,2024-11-05 17:46:55,"Carrier LP1, Clamp On data receive: [SOH]0400MOV:FCCL/10;D3[CR]"
4,2024-11-05 17:46:55,"Carrier LP1, Clamp On interlock: (10) No carrier mounting"
4,2024-11-05 17:47:04,Cassette removed at LP2
4,2024-11-05 17:47:05,"Carrier LP2, Set FOUP Light OperatorAccess1 to LightOff send command: SET:LOSW;"
4,2024-11-05 17:47:05,"Carrier LP2, Set FOUP Light OperatorAccess1 to LightOff data receive: [SOH]0000SET:LOSW;66[CR][SOH]0000INF:LOSW;57[CR]"
4,2024-11-05 17:47:10,"Carrier LP1, Clamp On data receive: [SOH]0000MOV:FCCL;3F[CR]"
4,2024-11-05 17:47:10,"Carrier LP1, Clamp On data receive: [SOH]0000INF:FCCL;2A[CR]"
4,2024-11-05 17:47:12,"Carrier LP1, Dock On send command: MOV:Y_FW;"
4,2024-11-05 17:47:12,"Carrier LP1, Dock On data receive: [SOH]0000MOV:Y_FW;7C[CR]"
4,2024-11-05 17:47:14,"Carrier LP1, Dock On data receive: [SOH]0000INF:Y_FW;67[CR]"
4,2024-11-05 17:47:16,Cassette removed at LP1
4,2024-11-05 17:47:17,"Carrier LP1, Set FOUP Light OperatorAccess1 to LightOff send command: SET:LOSW;"
4,2024-11-05 17:47:17,"Carrier LP1, Set FOUP Light OperatorAccess1 to LightOff data receive: [SOH]0000SET:LOSW;66[CR][SOH]0000INF:LOSW;57[CR]"
4,2024-11-05 17:47:38,"Carrier LP2, Clamp On send command: MOV:FCCL;"
4,2024-11-05 17:47:38,"Carrier LP2, Clamp On data receive: [SOH]0000MOV:FCCL;3F[CR]"
4,2024-11-05 17:47:39,"Carrier LP2, Clamp On data receive: [SOH]0000INF:FCCL;2A[CR]"
4,2024-11-05 17:47:41,"Carrier LP2, Dock On send command: MOV:Y_FW;"
4,2024-11-05 17:47:41,"Carrier LP2, Dock On data receive: [SOH]0000MOV:Y_FW;7C[CR]"
4,2024-11-05 17:47:42,"Carrier LP2, Dock On data receive: [SOH]0000INF:Y_FW;67[CR]"
4,2024-11-05 18:34:53,"Carrier LP1, Dock Off send command: MOV:Y_BW;"
4,2024-11-05 18:34:53,"Carrier LP1, Dock Off data receive: [SOH]0000MOV:Y_BW;78[CR]"
4,2024-11-05 18:34:55,"Carrier LP1, Dock Off data receive: [SOH]0000INF:Y_BW;63[CR]"
4,2024-11-05 18:34:57,"Carrier LP1, Dock On data receive: [SOH]0400MOV:Y_FW/10;10[CR]"
4,2024-11-05 18:34:57,"Carrier LP1, Dock On interlock: (10) No carrier mounting"
4,2024-11-05 18:35:02,"Carrier LP1, Clamp Off send command: MOV:FCOP;"
4,2024-11-05 18:35:02,"Carrier LP1, Clamp Off data receive: [SOH]0000MOV:FCOP;4F[CR]"
4,2024-11-05 18:35:03,"Carrier LP1, Clamp Off data receive: [SOH]0000INF:FCOP;3A[CR]"
4,2024-11-05 18:35:15,"Carrier LP1, Dock Off data receive: [SOH]0000MOV:Y_BW;78[CR][SOH]0000INF:Y_BW;63[CR]"
4,2024-11-05 18:35:24,"Carrier LP2, Dock Off send command: MOV:Y_BW;"
4,2024-11-05 18:35:24,"Carrier LP2, Dock Off data receive: [SOH]0000MOV:Y_BW;78[CR]"
4,2024-11-05 18:35:25,"Carrier LP2, Dock Off data receive: [SOH]0000INF:Y_BW;63[CR]"
4,2024-11-05 18:35:26,"Carrier LP2, Clamp Off send command: MOV:FCOP;"
4,2024-11-05 18:35:26,"Carrier LP2, Clamp Off data receive: [SOH]0000MOV:FCOP;4F[CR]"
4,2024-11-05 18:35:27,"Carrier LP2, Clamp Off data receive: [SOH]0000INF:FCOP;3A[CR]"
4,2024-11-05 23:43:50,"Carrier LP1, Clamp Off data receive: [SOH]0000MOV:FCOP;4F[CR][SOH]0000INF:FCOP;3A[CR]"
4,2024-11-06 00:41:02,User open manual trigger without initialize machine
4,2024-11-06 00:41:02,Accessing Manual Trigger.
4,2024-11-06 00:41:39,Manual Trigger closed.
4,2024-11-07 00:57:42,"AxisVisionHeightY, GetMoveStatus, GetAxisStatus return: LinkError"
4,2024-11-07 00:58:08,"AxisVisionHeightY, GetPosition , GetAbsPosition return: LinkError"
4,2024-11-07 00:58:08,"AxisVisionHeightY, GetCurrentPulse, GetAbsPosition return: LinkError"
4,2024-11-07 01:11:05,"AxisVisionHeightY, SetInitialSetup, SetAlarmSignalLogic return: LinkError"
4,2024-11-07 01:11:06,"AxisVisionHeightY, SetInitialSetup, SetSVONState return: LinkError"
4,2024-11-07 01:11:06,"AxisVisionHeightY, SetInitialSetup, SetOrgSignalLogic return: LinkError"
4,2024-11-07 01:39:59,"Hirata, Initializing robot arm"
4,2024-11-07 01:39:59,"Robot arm position before initialize X: 19.93, Y: 0, Z: 281.9, W: 271.79, R: 0, C: 0"
4,2024-11-07 01:39:59,Error at Initialize Robot - robot position file data is not set properly.
4,2024-11-08 01:02:11,"AxisRobotSliderY, SetInitialSetup, SetAlarmSignalLogic return: LinkError"
4,2024-11-08 01:02:11,"AxisRobotSliderY, SetInitialSetup, SetSVONState return: LinkError"
4,2024-11-08 01:02:11,"AxisRobotSliderY, SetInitialSetup, SetOrgSignalLogic return: LinkError"
4,2024-11-08 01:02:11,"AxisCartesianY, SetInitialSetup, SetAlarmSignalLogic return: LinkError"
4,2024-11-08 01:02:12,"AxisCartesianY, SetInitialSetup, SetSVONState return: LinkError"
4,2024-11-08 01:02:12,"AxisCartesianY, SetInitialSetup, SetOrgSignalLogic return: LinkError"
4,2024-11-08 01:02:12,"AxisCartesianZ, SetInitialSetup, SetAlarmSignalLogic return: LinkError"
4,2024-11-08 01:02:12,"AxisCartesianZ, SetInitialSetup, SetSVONState return: LinkError"
4,2024-11-08 01:02:12,"AxisCartesianZ, SetInitialSetup, SetOrgSignalLogic return: LinkError"
4,2024-11-08 01:02:12,"AxisCartesianW, SetInitialSetup, SetAlarmSignalLogic return: LinkError"
4,2024-11-08 01:02:12,"AxisCartesianW, SetInitialSetup, SetSVONState return: LinkError"
4,2024-11-08 01:02:12,"AxisCartesianW, SetInitialSetup, SetOrgSignalLogic return: LinkError"
4,2024-11-08 01:02:12,"AxisPaperBufferPort, SetInitialSetup, SetAlarmSignalLogic return: LinkError"
4,2024-11-08 01:02:12,"AxisPaperBufferPort, SetInitialSetup, SetSVONState return: LinkError"
4,2024-11-08 01:02:12,"AxisPaperBufferPort, SetInitialSetup, SetOrgSignalLogic return: LinkError"
4,2024-11-08 01:02:12,"AxisFlipper, SetInitialSetup, SetAlarmSignalLogic return: LinkError"
4,2024-11-08 01:02:12,"AxisFlipper, SetInitialSetup, SetSVONState return: LinkError"
4,2024-11-08 01:02:12,"AxisFlipper, SetInitialSetup, SetOrgSignalLogic return: LinkError"
4,2024-11-08 01:49:11,"AxisCartesianY, GetMoveStatus, GetAxisStatus return: LinkError"
4,2024-11-08 02:01:41,Robot COM3 Read data contain error [STX]001 E064110000000[ETX][55]: Emergency stop state.
4,2024-11-08 02:01:41,Error at Move Start Position - Robot response E064110000000. Emergency stop state.
4,2024-11-08 02:02:37,"Hirata, Error at Permit Move - Robot response E064110000000. Emergency stop state."
4,2024-11-09 09:39:45,Robot COM3 Read data contain error [STX]001 E060262000000[ETX][57]: A command which could not be executed in the current mode was received.
4,2024-11-09 09:43:09,"Hirata, Error at Permit Move - Robot response E060262000000. A command which could not be executed in the current mode was received."
4,2024-11-09 13:57:15,Reset prealigner align data
4,2024-11-09 13:57:15,Prealign Inch8 Notch wafer to 180 degree
4,2024-11-09 13:57:15,Prealign complete
4,2024-11-09 13:57:41,"Hirata, initializing prealigner"
4,2024-11-09 13:57:42,"Hirata, initializing prealigner - OK"
4,2024-11-09 14:26:19,User click Reset System
4,2024-11-09 14:34:45,Error at Move Start Position - Robot response E060262000000. A command which could not be executed in the current mode was received.
4,2024-11-09 15:27:38,"Carrier LP1, Latch On send command: MOV:DROP;"
4,2024-11-09 15:27:39,"Carrier LP1, Latch On data receive: [SOH]0400MOV:DROP/10;F0[CR]"
4,2024-11-09 15:27:39,"Carrier LP1, Latch On interlock: (10) No carrier mounting"
4,2024-11-09 15:45:23,"Carrier LP2, Dock On data receive: [SOH]0400MOV:Y_FW/14;14[CR]"
4,2024-11-09 15:45:23,"Carrier LP2, Dock On interlock: (14) Clamping not completed"
4,2024-11-09 15:45:28,"Carrier LP2, Error Clear send command: SET:RSET;"
4,2024-11-09 15:45:28,"Carrier LP2, Error Clear data receive: [SOH]0000SET:RSET;5F[CR][SOH]0000INF:RSET;50[CR]"
4,2024-11-09 15:46:16,"Carrier LP2, Clamp On data receive: [SOH]0400MOV:FCCL/10;D3[CR]"
4,2024-11-09 15:46:16,"Carrier LP2, Clamp On interlock: (10) No carrier mounting"
4,2024-11-09 16:07:20,"Carrier LP2, Dock Off data receive: [SOH]0400MOV:Y_BW/10;0C[CR]"
4,2024-11-09 16:07:20,"Carrier LP2, Dock Off interlock: (10) No carrier mounting"
4,2024-11-09 16:08:13,"Carrier LP2, Clamp Off data receive: [SOH]0000MOV:FCOP;4F[CR][SOH]0000INF:FCOP;3A[CR]"
4,2024-11-09 16:08:34,"Carrier LP2, send command: GET:STAS;"
4,2024-11-09 16:08:34,"Carrier LP2, Get Status data receive: [SOH]0000GET:STAS/00000020100110000010;45[CR]"
4,2024-11-09 16:08:34,"Carrier LP2, Set FOUP Light Status1 to LightOff send command: SET:LOS1;"
4,2024-11-09 16:08:34,"Carrier LP2, Set FOUP Light Status1 to LightOff data receive: [SOH]0000SET:LOS1;40[CR][SOH]0000INF:LOS1;31[CR]"
4,2024-11-09 16:08:34,"Carrier LP2, Initialize"
4,2024-11-09 16:08:34,"Carrier LP2, Initialize send command: MOV:ABGN;"
4,2024-11-09 16:08:34,"Carrier LP2, Initialize data receive: [SOH]0000MOV:ABGN;3F[CR]"
4,2024-11-09 16:08:40,"Carrier LP2, Initialize data receive: [SOH]0000INF:ABGN;2A[CR]"
4,2024-11-09 16:08:52,"Carrier LP2, Load cassette type: FOSB_25S"
4,2024-11-09 16:08:52,"Carrier LP2, Set Type send command: SET:TYP3;"
4,2024-11-09 16:08:52,"Carrier LP2, Set Type data receive: [SOH]0000SET:TYP3;51[CR][SOH]0000INF:TYP3;42[CR]"
4,2024-11-09 16:08:52,"Carrier LP2, Get Status data receive: [SOH]0000GET:STAS/00100010101000000020;45[CR]"
4,2024-11-09 16:08:52,"Carrier LP2, Load cassette send command: MOV:FPLD;"
4,2024-11-09 16:08:52,"Carrier LP2, Load cassette data receive: [SOH]0000MOV:FPLD;4D[CR]"
4,2024-11-09 16:09:02,"Carrier LP2, Load cassette data receive: [SOH]0000INF:FPLD;38[CR]"
4,2024-11-09 16:35:21,"Carrier LP1, send command: GET:STAS;"
4,2024-11-09 16:35:21,"Carrier LP1, Get Status data receive: [SOH]0000GET:STAS/00000020100110000010;45[CR]"
4,2024-11-09 16:35:21,"Carrier LP1, Set FOUP Light Status1 to LightOff send command: SET:LOS1;"
4,2024-11-09 16:35:21,"Carrier LP1, Set FOUP Light Status1 to LightOff data receive: [SOH]0000SET:LOS1;40[CR][SOH]0000INF:LOS1;31[CR]"
4,2024-11-09 16:35:21,"Carrier LP1, Initialize"
4,2024-11-09 16:35:21,"Carrier LP1, Initialize send command: MOV:ABGN;"
4,2024-11-09 16:35:21,"Carrier LP1, Initialize data receive: [SOH]0000MOV:ABGN;3F[CR]"
4,2024-11-09 16:35:31,"Carrier LP1, Initialize wait data receive event timeout"
4,2024-11-09 16:36:37,"Carrier LP1, Initialize data receive: [SOH]0000INF:ABGN;2A[CR]"
4,2024-11-09 16:37:25,"Carrier LP1, Get Status data receive: [SOH]0000GET:STAS/00100020101000000010;45[CR]"
4,2024-11-09 16:39:00,"Carrier LP1, Load cassette type: FOSB_25S"
4,2024-11-09 16:39:00,"Carrier LP1, Set Type send command: SET:TYP3;"
4,2024-11-09 16:39:00,"Carrier LP1, Set Type data receive: [SOH]0000SET:TYP3;51[CR][SOH]0000INF:TYP3;42[CR]"
4,2024-11-09 16:39:00,"Carrier LP1, Get Status data receive: [SOH]0000GET:STAS/00100010101000000020;45[CR]"
4,2024-11-09 16:39:00,"Carrier LP1, Load cassette send command: MOV:FPLD;"
4,2024-11-09 16:39:00,"Carrier LP1, Load cassette data receive: [SOH]0000MOV:FPLD;4D[CR]"
4,2024-11-09 16:39:10,"Carrier LP1, Load cassette data receive: [SOH]0000INF:FPLD;38[CR]"
4,2024-11-09 17:00:27,"Carrier LP1, Get Status data receive: [SOH]0000GET:STAS/00000020000110000020;45[CR]"
4,2024-11-09 17:00:49,"Carrier LP1, Check Cassette Placement"
4,2024-11-09 17:00:49,"Carrier LP1, send command: GET:LEST;"
4,2024-11-09 17:00:49,"Carrier LP1, Check Cassette Placement data receive: [SOH]0000GET:LEST/0100000;CD[CR]"
4,2024-11-09 17:00:49,"Carrier LP1, Set Mapping Parameter for Type2, wafer thickness: 750, wafer pitch tolerance: 1000, wafer position tolerance: 1000"
4,2024-11-09 17:00:49,"Carrier LP1, send command: GET:MAPP01;"
4,2024-11-09 17:00:49,"Carrier LP1, Set Mapping Parameter data receive: [SOH]0000GET:MAPP/02EE18CE0019000003E80FA001;01[CR]"
4,2024-11-09 17:00:49,"Carrier LP1, send command: SET:MAPP0102EE18CE0019000003E803E801;"
4,2024-11-09 17:00:49,"Carrier LP1, Set Mapping Parameter data receive: [SOH]0000SET:MAPP;4F[CR][SOH]0000INF:MAPP;40[CR]"
4,2024-11-09 17:00:49,"Carrier LP1, Mapping cassette type: OC8Inch_25S"
4,2024-11-09 17:00:49,"Carrier LP1, Set Type send command: SET:TYP2;"
4,2024-11-09 17:00:49,"Carrier LP1, Set Type data receive: [SOH]0000SET:TYP2;50[CR][SOH]0000INF:TYP2;41[CR]"
4,2024-11-09 17:00:49,"Carrier LP1, Get Status data receive: [SOH]0000GET:STAS/00100010101000000010;44[CR]"
4,2024-11-09 17:00:49,"Carrier LP1, Mapping cassette send command: MOV:FPML;"
4,2024-11-09 17:00:49,"Carrier LP1, Mapping cassette data receive: [SOH]0000MOV:FPML;56[CR]"
4,2024-11-09 17:00:59,"Carrier LP1, Mapping cassette data receive: [SOH]0000INF:FPML;41[CR]"
4,2024-11-09 17:00:59,"Carrier LP1, Get Mapping Result"
4,2024-11-09 17:00:59,"Carrier LP1, send command: GET:MDAT;"
4,2024-11-09 17:00:59,"Carrier LP1, Get Mapping Result data receive: [SOH]0000GET:MDAT/0000000000000000000000000;1A[CR]"
4,2024-11-09 17:00:59,Carrier LP1 Get Result Wafer Thickness
4,2024-11-09 17:00:59,"Carrier LP1, send command: GET:MDAH01;"
4,2024-11-09 17:00:59,"Carrier LP1, Get Result Wafer Thickness data receive: [SOH]0000GET:MDAH/00000000000000000000;1E[CR]"
4,2024-11-09 17:00:59,"Carrier LP1, send command: GET:MDAH02;"
4,2024-11-09 17:00:59,"Carrier LP1, send command: GET:MDAH03;"
4,2024-11-09 17:01:00,"Carrier LP1, send command: GET:MDAH04;"
4,2024-11-09 17:01:00,"Carrier LP1, send command: GET:MDAH05;"
4,2024-11-09 17:01:18,"Carrier LP1, Set Mapping Parameter data receive: [SOH]0000GET:MAPP/02EE18CE0019000003E803E801;FA[CR]"
4,2024-11-09 17:01:19,"Carrier LP1, Get Status data receive: [SOH]0000GET:STAS/00200011100111000110;49[CR]"
4,2024-11-09 17:01:26,"Carrier LP1, Get Mapping Result data receive: [SOH]0000GET:MDAT/0500000000000000000000001;20[CR]"
4,2024-11-09 17:01:26,"Carrier LP1, Get Result Wafer Thickness data receive: [SOH]0000GET:MDAH/03070000000000000000;28[CR]"
4,2024-11-09 17:01:26,"Carrier LP1, Get Result Wafer Thickness data receive: [SOH]0000GET:MDAH/00000000000002D50000;39[CR]"
4,2024-11-09 17:01:38,"Carrier LP1, Set Mapping Parameter for Type2, wafer thickness: 750, wafer pitch tolerance: 350, wafer position tolerance: 2000"
4,2024-11-09 17:01:38,"Carrier LP1, send command: SET:MAPP0102EE18CE00190000015E07D001;"
4,2024-11-10 09:10:18,"AxisRobotSliderY checking Is EMO Detect, InputPort3 failed to read port"
4,2024-11-10 09:11:38,"OutputPort6, WritePort return: LinkError"
4,2024-11-10 09:11:41,"InputPort3, ReadPort return: LinkError"
4,2024-11-10 09:11:42,"InputPort5, ReadPort return: LinkError"
4,2024-11-10 09:15:27,"OutputPort3, ReadPort return: LinkError"
4,2024-11-10 09:17:10,"OutputPort3, WritePort return: LinkError"
4,2024-11-10 09:17:13,EMO was pressed!!
4,2024-11-10 09:17:18,"Auto Detect LP3, current InputPort1 port value: 4096"
4,2024-11-10 09:17:18,Auto Detect LP4
4,2024-11-10 09:17:18,"Auto Detect LP4, current InputPort2 port value: 16"
4,2024-11-10 09:35:57,"AxisFlipper checking Is EMO Detect, InputPort3 failed to read port"
4,2024-11-10 09:44:15,"OutputPort5, WritePort return: LinkError"
4,2024-11-10 09:49:40,"AxisVisionHeightY checking Is EMO Detect, InputPort3 failed to read port"
4,2024-11-10 11:24:57,"OutputPort4, ReadPort return: LinkError"
4,2024-11-10 11:28:11,"AxisCartesianY checking Is EMO Detect, InputPort3 failed to read port"
4,2024-11-10 11:43:07,"OutputPort6, WriteAnalog return: LinkError"
4,2024-11-10 11:43:22,"OutputPort4, WritePort return: LinkError"
4,2024-11-11 16:00:15,"Carrier LP1, Error Clear data receive: [SOH]0700SET:RSET;66[CR]"
4,2024-11-11 16:00:16,"Carrier LP1, Error Clear wait data receive event timeout"
4,2024-11-11 16:00:21,"Carrier LP1, Get Status data receive: [SOH]0000GET:STAS/02200011100111000010;4A[CR]"
4,2024-11-11 16:00:22,"Carrier LP1, Set FOUP Light Status1 to LightOff data receive: [SOH]0700SET:LOS1;47[CR]"
4,2024-11-11 16:00:23,"Carrier LP1, Set FOUP Light Status1 to LightOff wait data receive event timeout"
4,2024-11-11 16:00:23,"Carrier LP1, Initialize data receive: [SOH]0700MOV:ABGN;46[CR]"
4,2024-11-11 16:01:00,"Carrier LP1, Get Status data receive: [SOH]0000GET:STAS/00200011100111000010;48[CR]"
4,2024-11-11 16:01:08,"Carrier LP1, Initialize data receive: [SOH]0000ABS:ABGN/A2;C5[CR]"
4,2024-11-11 16:01:08,"Carrier LP1, Initialize abnormal finish: (A2) Carrier mount error (Mount sensor"
4,2024-11-11 16:01:14,"Carrier LP1, Get Status data receive: [SOH]0000GET:STAS/0000001?101000000010;52[CR]"
4,2024-11-11 16:01:23,"Carrier LP2, Get Status data receive: [SOH]0000GET:STAS/00200011100111000010;48[CR]"
4,2024-11-11 16:05:44,Error at Initialize Robot - failed to clear error.
4,2024-11-11 16:05:56,Robot COM3 Read data timeout
4,2024-11-11 16:05:58,"Robot arm position before initialize X: 601, Y: 0, Z: 0, W: 0, R: 0, C: 0"
4,2024-11-11 16:06:09,Error at Initialize Robot - Read current robot position failed before initialize robot.
4,2024-11-11 16:07:47,"Robot arm position before initialize X: 48.92, Y: 0, Z: 240.13, W: 90.17, R: 0, C: 0"
4,2024-11-11 16:17:04,"Robot arm position before initialize X: 25, Y: 0, Z: 56.06, W: 90.17, R: 0, C: 0"
4,2024-11-11 16:17:47,"Hirata, initialize robot arm at canister port"
4,2024-11-11 16:18:05,"Hirata, initialize robot arm at prealigner area"
4,2024-11-11 16:18:36,"Hirata, initializing robot arm - OK"
4,2024-11-12 11:59:54,"Set recipe LP4 vision program 8ich lp4, program number: 100"
4,2024-11-12 11:59:54,"Get Vision Result LP4 at load port: Canister12_LP4, detection type: Object"
4,2024-11-12 11:59:55,Target vision program: 100
4,2024-11-12 11:59:55,Vision change program: 100
4,2024-11-12 11:59:55,InputPort6 value for vision (Object Canister12_LP4) 2
4,2024-11-12 11:59:55,Vision detect wafer at LP4.
4,2024-11-12 12:25:39,"InputPort6, ReadPort return: LinkError"
